Brand Name,Price (INR),Product Name,Image URLs
CLARKS,"Rs.10,999.00",Men Wallabee EVO Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20230821/RWtv/64e38b0dafa4cf41f564767a/clarks_grey_men_wallabee_evo_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230821/RWtv/64e38b0dafa4cf41f5647673/clarks_grey_men_wallabee_evo_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230821/RWtv/64e38b0dafa4cf41f5647671/clarks_grey_men_wallabee_evo_ankle-length_boots.jpg']"
STEVE MADDEN,"Rs.13,999.00",SM-1567 Slip-On Chelsea Boots,"['https://assets.ajio.com/medias/sys_master/root/20230609/HNfj/6482e602d55b7d0c635cbcc7/steve_madden_black_sm-1567_slip-on_chelsea_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230609/HNfj/6482e602d55b7d0c635cbcc3/steve_madden_black_sm-1567_slip-on_chelsea_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230609/HNfj/6482e602d55b7d0c635cbcc2/steve_madden_black_sm-1567_slip-on_chelsea_boots.jpg']"
Everqupid,"Rs.1,599.00",Women Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20230919/gKuf/6509be1eddf7791519e79b84/everqupid_black_women_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230919/gKuf/6509be1eddf7791519e79b72/everqupid_black_women_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230919/gKuf/6509be1eddf7791519e79b6d/everqupid_black_women_ankle-length_boots.jpg']"
ADORLY,"Rs.1,050.00",Kitten-Heeled Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20220112/KZMq/61ddd82ff997dd66231bcb27/adorly_black_kitten-heeled_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20220112/KZMq/61ddd82ff997dd66231bcb12/adorly_black_kitten-heeled_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20220112/KZMq/61ddd82ff997dd66231bcb0e/adorly_black_kitten-heeled_ankle-length_boots.jpg']"
DELIZE,"Rs.5,000.00",High-Rise Lace-up Boots ,"['https://assets.ajio.com/medias/sys_master/root/20230628/HJ4b/649b809ba9b42d15c900bfbd/delize_brown_high-rise_lace-up_boots_.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230628/HJ4b/649b809ba9b42d15c900bfaa/delize_brown_high-rise_lace-up_boots_.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230628/HJ4b/649b809ba9b42d15c900bfa5/delize_brown_high-rise_lace-up_boots_.jpg']"
Mactree,"Rs.1,396.00", Lace-up Boots,"['https://assets.ajio.com/medias/sys_master/root/20230906/fc0a/64f78bbcddf77915199d1308/mactree_black__lace-up_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230906/fc0a/64f78bbcddf77915199d12f9/mactree_black__lace-up_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230906/fc0a/64f78bbcddf77915199d12f5/mactree_black__lace-up_boots.jpg']"
PIERRE CARDIN,"Rs.2,340.00",Panelled Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20230131/rEwe/63d92a9daeb269c65106fe72/pierre_cardin_brown_panelled_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230131/rEwe/63d92a9daeb269c65106fe51/pierre_cardin_brown_panelled_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230131/rEwe/63d92a9daeb269c65106fe4b/pierre_cardin_brown_panelled_ankle-length_boots.jpg']"
STEVE MADDEN,"Rs.9,999.00",AIRE Ankle-length Boots,"['https://assets.ajio.com/medias/sys_master/root/20231025/mUjL/65390540ddf779151959b359/steve_madden_brown_aire_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20231025/mUjL/65390540ddf779151959b34a/steve_madden_brown_aire_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20231025/mUjL/65390540ddf779151959b346/steve_madden_brown_aire_ankle-length_boots.jpg']"
Everqupid,"Rs.2,499.00",Women Mid-Calf Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20230919/fBHk/6509be1eafa4cf41f5f1a309/everqupid_black_women_mid-calf_length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230919/fBHk/6509be1eafa4cf41f5f1a2ed/everqupid_black_women_mid-calf_length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230919/fBHk/6509be1eafa4cf41f5f1a2e6/everqupid_black_women_mid-calf_length_boots.jpg']"
ARBUNORE,Rs.960.00,Ankle-Length Lace-Up Boots,"['https://assets.ajio.com/medias/sys_master/root/20220927/4uTB/63330b53f997dd1f8d1fe616/arbunore_black_ankle-length_lace-up_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20220927/4uTB/63330b53f997dd1f8d1fe60b/arbunore_black_ankle-length_lace-up_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20220927/4uTB/63330b53f997dd1f8d1fe608/arbunore_black_ankle-length_lace-up_boots.jpg']"
