Brand Name,Price (INR),Product Name,Image URLs
DELIZE,"Rs.3,000.00",Lace Fastening Toe-Cap Boots,"['https://assets.ajio.com/medias/sys_master/root/20230602/oHKL/64794cb142f9e729d70fb5e7/delize_black_lace_fastening_toe-cap_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230602/oHKL/64794cb142f9e729d70fb5d3/delize_black_lace_fastening_toe-cap_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230602/oHKL/64794cb142f9e729d70fb5ce/delize_black_lace_fastening_toe-cap_boots.jpg']"
DELIZE,"Rs.4,290.00",Knee-Length Boots with Buckle Closure,"['https://assets.ajio.com/medias/sys_master/root/20230602/6rN7/64795a2542f9e729d7118ab2/delize_black_knee-length_boots_with_buckle_closure.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230602/6rN7/64795a2542f9e729d7118aa3/delize_black_knee-length_boots_with_buckle_closure.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230602/6rN7/64795a2542f9e729d7118a9e/delize_black_knee-length_boots_with_buckle_closure.jpg']"
TORO BLU,Rs.850.00,Chelsea Boots with Pull-Up Tabs,"['https://assets.ajio.com/medias/sys_master/root/20230509/mj1g/645a417842f9e729d7714041/toro_blu_brown_chelsea_boots_with_pull-up_tabs.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230509/mj1g/645a417842f9e729d771402f/toro_blu_brown_chelsea_boots_with_pull-up_tabs.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230509/mj1g/645a417842f9e729d771402b/toro_blu_brown_chelsea_boots_with_pull-up_tabs.jpg']"
Shoetopia,"Rs.1,199.00",Ankle-Length Boots with Buckle Fastening,"['https://assets.ajio.com/medias/sys_master/root/20230628/lRkE/649be3c4eebac147fc2320bf/shoetopia_black_ankle-length_boots_with_buckle_fastening.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230628/lRkE/649be3c4eebac147fc2320ab/shoetopia_black_ankle-length_boots_with_buckle_fastening.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230628/lRkE/649be3c4eebac147fc2320a6/shoetopia_black_ankle-length_boots_with_buckle_fastening.jpg']"
Shoetopia,Rs.898.00,Solid Ankle-Length Boots ,"['https://assets.ajio.com/medias/sys_master/root/20230621/zIF5/649227a7d55b7d0c6382c5e7/shoetopia_black_solid_ankle-length_boots_.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230621/zIF5/649227a7d55b7d0c6382c5d2/shoetopia_black_solid_ankle-length_boots_.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230621/zIF5/649227a7d55b7d0c6382c5cb/shoetopia_black_solid_ankle-length_boots_.jpg']"
ADORLY,Rs.874.00,Stiletto-Heeled Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20230216/a48q/63ee42a6f997dde6f4aba174/adorly_peach_stiletto-heeled_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230216/a48q/63ee42a6f997dde6f4aba15f/adorly_peach_stiletto-heeled_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230216/a48q/63ee42a6f997dde6f4aba159/adorly_peach_stiletto-heeled_ankle-length_boots.jpg']"
SHUZ TOUCH,Rs.987.00,Ankle-Length Boots with Metal Accent,"['https://assets.ajio.com/medias/sys_master/root/20210404/9jR3/606b28f1f997dd7b649027e7/shuz_touch_brown_ankle-length_boots_with_metal_accent.jpg', 'https://assets.ajio.com/medias/sys_master/root/20210404/9jR3/606b28f1f997dd7b649027d8/shuz_touch_brown_ankle-length_boots_with_metal_accent.jpg', 'https://assets.ajio.com/medias/sys_master/root/20210404/9jR3/606b28f1f997dd7b649027d5/shuz_touch_brown_ankle-length_boots_with_metal_accent.jpg']"
WOODLAND,"Rs.2,882.00",Panelled High-Top Leather Shoes,"['https://assets.ajio.com/medias/sys_master/root/haf/h5b/12059892973598/woodland_dark_brown_panelled_high-top_leather_shoes.jpg', 'https://assets.ajio.com/medias/sys_master/root/h35/hc1/12059893760030/woodland_dark_brown_panelled_high-top_leather_shoes.jpg', 'https://assets.ajio.com/medias/sys_master/root/h85/h84/12059892908062/woodland_dark_brown_panelled_high-top_leather_shoes.jpg']"
ELLE,"Rs.1,799.00",Women Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20230905/T5Z2/64f74982ddf77915199b6999/elle_black_women_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230905/T5Z2/64f74982ddf77915199b6979/elle_black_women_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230905/T5Z2/64f74982ddf77915199b6970/elle_black_women_ankle-length_boots.jpg']"
Carlton London,"Rs.1,360.00",Ankle-Length Boots with Zip Closure,"['https://assets.ajio.com/medias/sys_master/root/20230123/fARx/63cea14faeb269c651f33fbc/carlton_london_black_ankle-length_boots_with_zip_closure.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230123/fARx/63cea14faeb269c651f33fac/carlton_london_black_ankle-length_boots_with_zip_closure.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230123/fARx/63cea14faeb269c651f33fa6/carlton_london_black_ankle-length_boots_with_zip_closure.jpg']"
PIERRE CARDIN,"Rs.2,719.00",Ankle-Length Boots with Buckle Closure,"['https://assets.ajio.com/medias/sys_master/root/20221110/yH1y/636d1cdef997ddfdbd6c38e7/pierre_cardin_brown_ankle-length_boots_with_buckle_closure.jpg', 'https://assets.ajio.com/medias/sys_master/root/20221110/yH1y/636d1cdef997ddfdbd6c38d7/pierre_cardin_brown_ankle-length_boots_with_buckle_closure.jpg', 'https://assets.ajio.com/medias/sys_master/root/20221110/yH1y/636d1cdef997ddfdbd6c38d3/pierre_cardin_brown_ankle-length_boots_with_buckle_closure.jpg']"
BIG FOX,Rs.900.00,Solid Ankle-length  Boot,"['https://assets.ajio.com/medias/sys_master/root/20230125/t7vE/63d14ebdaeb269c651fa5103/big_fox_brown_solid_ankle-length__boot.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230125/t7vE/63d14ebdaeb269c651fa50ea/big_fox_brown_solid_ankle-length__boot.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230125/t7vE/63d14ebdaeb269c651fa50e2/big_fox_brown_solid_ankle-length__boot.jpg']"
Shoetopia,"Rs.1,199.00",Ankle-Length Boots with Zip-Closure Fur Detail,"['https://assets.ajio.com/medias/sys_master/root/20230624/LKU6/64971454eebac147fc073c06/shoetopia_black_ankle-length_boots_with_zip-closure_fur_detail.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230624/LKU6/64971454eebac147fc073bf5/shoetopia_black_ankle-length_boots_with_zip-closure_fur_detail.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230624/LKU6/64971454eebac147fc073bf1/shoetopia_black_ankle-length_boots_with_zip-closure_fur_detail.jpg']"
Carlton London,Rs.989.00,Slip-On Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20230103/KVVC/63b4096ef997ddfdbd0ddd29/carlton_london_black_slip-on_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230103/KVVC/63b4096ef997ddfdbd0ddd1a/carlton_london_black_slip-on_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230103/KVVC/63b4096ef997ddfdbd0ddd13/carlton_london_black_slip-on_ankle-length_boots.jpg']"
DELIZE,"Rs.4,160.00",Knee-Length Boots with Zip Closure,"['https://assets.ajio.com/medias/sys_master/root/20230628/mEwU/649b7d7aa9b42d15c9005745/delize_white_knee-length_boots_with_zip_closure.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230628/mEwU/649b7d7aa9b42d15c9005735/delize_white_knee-length_boots_with_zip_closure.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230628/mEwU/649b7d7aa9b42d15c9005730/delize_white_knee-length_boots_with_zip_closure.jpg']"
Shoetopia,"Rs.1,200.00",Knee-Length Boots with Zip Closure,"['https://assets.ajio.com/medias/sys_master/root/20230526/GeMe/646fe76cd55b7d0c63026a4c/shoetopia_black_knee-length_boots_with_zip_closure.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230526/GeMe/646fe76cd55b7d0c63026a40/shoetopia_black_knee-length_boots_with_zip_closure.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230526/GeMe/646fe76cd55b7d0c63026a3d/shoetopia_black_knee-length_boots_with_zip_closure.jpg']"
ADORLY,"Rs.1,406.00",Ankle-Length Boots with Zip Closure,"['https://assets.ajio.com/medias/sys_master/root/20230221/VwSD/63f4ea28f997dde6f4b89da6/adorly_black_ankle-length_boots_with_zip_closure.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230221/VwSD/63f4ea28f997dde6f4b89d99/adorly_black_ankle-length_boots_with_zip_closure.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230221/VwSD/63f4ea28f997dde6f4b89d96/adorly_black_ankle-length_boots_with_zip_closure.jpg']"
Shoetopia,Rs.898.00,Ankle-Length Boots with Lace-Fastening,"['https://assets.ajio.com/medias/sys_master/root/20230628/rzvo/649b96a0eebac147fc19ba77/shoetopia_black_ankle-length_boots_with_lace-fastening.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230628/rzvo/649b96a0eebac147fc19ba65/shoetopia_black_ankle-length_boots_with_lace-fastening.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230628/rzvo/649b96a0eebac147fc19ba61/shoetopia_black_ankle-length_boots_with_lace-fastening.jpg']"
CLARKS,"Rs.7,699.00",Atticus LT Hi GTX Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20220824/Hwss/6305315daeb2691761976747/clarks_brown_atticus_lt_hi_gtx_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20220824/Hwss/6305315daeb2691761976734/clarks_brown_atticus_lt_hi_gtx_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20220824/Hwss/6305315daeb2691761976728/clarks_brown_atticus_lt_hi_gtx_ankle-length_boots.jpg']"
Fyre Rose,Rs.900.00,Colourblock Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20230316/rX3z/6412f133aeb26924e3c6280f/fyre_rose_brown_%26_black_colourblock_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230316/rX3z/6412f133aeb26924e3c627f8/fyre_rose_brown_%26_black_colourblock_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230316/rX3z/6412f133aeb26924e3c627f2/fyre_rose_brown_%26_black_colourblock_ankle-length_boots.jpg']"
ELLE,"Rs.1,665.00",Ankle-Length Boots with Pull-Tabs,"['https://assets.ajio.com/medias/sys_master/root/20230221/PX0s/63f483f8aeb26924e37f1d54/elle_cherry_red_ankle-length_boots_with_pull-tabs.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230221/PX0s/63f483f8aeb26924e37f1d37/elle_cherry_red_ankle-length_boots_with_pull-tabs.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230221/PX0s/63f483f8aeb26924e37f1d2f/elle_cherry_red_ankle-length_boots_with_pull-tabs.jpg']"
ARBUNORE,Rs.900.00,Embellished Pointed-Toe Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20221129/MVr8/63862c24f997ddfdbda7b1a5/arbunore_burgundy_embellished_pointed-toe_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20221129/MVr8/63862c24f997ddfdbda7b197/arbunore_burgundy_embellished_pointed-toe_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20221129/MVr8/63862c24f997ddfdbda7b193/arbunore_burgundy_embellished_pointed-toe_ankle-length_boots.jpg']"
LONGWALK,Rs.599.00,Ankle-Length Heeled Boots ,"['https://assets.ajio.com/medias/sys_master/root/20230906/ALtN/64f8c2b8afa4cf41f5c808e5/longwalk_black_ankle-length_heeled_boots_.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230906/ALtN/64f8c2b8afa4cf41f5c808d1/longwalk_black_ankle-length_heeled_boots_.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230906/ALtN/64f8c2b8afa4cf41f5c808cc/longwalk_black_ankle-length_heeled_boots_.jpg']"
ARBUNORE,"Rs.1,221.00",Panelled Mid-Top Lace-Up Combat Boots,"['https://assets.ajio.com/medias/sys_master/root/20211028/00B7/617a9808f997ddf8f1eeab41/arbunore_black_panelled_mid-top_lace-up_combat_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20211028/00B7/617a9808f997ddf8f1eeab35/arbunore_black_panelled_mid-top_lace-up_combat_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20211028/00B7/617a9808f997ddf8f1eeab2f/arbunore_black_panelled_mid-top_lace-up_combat_boots.jpg']"
ARBUNORE,Rs.930.00,Lace-Up Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20211028/LbIF/617a980daeb2690110ae6661/arbunore_black_lace-up_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20211028/LbIF/617a980daeb2690110ae664b/arbunore_black_lace-up_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20211028/LbIF/617a980daeb2690110ae6648/arbunore_black_lace-up_ankle-length_boots.jpg']"
Fyre Rose,"Rs.1,050.00",Zip-Up Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20230316/swih/64135a33f997dde6f4035f20/fyre_rose_black_zip-up_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230316/swih/64135a33f997dde6f4035f14/fyre_rose_black_zip-up_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230316/swih/64135a33f997dde6f4035f12/fyre_rose_black_zip-up_ankle-length_boots.jpg']"
WOODLAND,"Rs.4,496.00",Mid-Top Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20230420/d0TR/64414dec711cf97ba73adac6/woodland_black_mid-top_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230420/d0TR/64414dec711cf97ba73adac2/woodland_black_mid-top_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230420/d0TR/64414dec711cf97ba73adac1/woodland_black_mid-top_ankle-length_boots.jpg']"
Carlton London,Rs.956.00,Ankle-Length Boots with Zipper Closure,"['https://assets.ajio.com/medias/sys_master/root/20221213/qpg2/6398b36eaeb269659ce7caba/carlton_london_olive_ankle-length_boots_with_zipper_closure.jpg', 'https://assets.ajio.com/medias/sys_master/root/20221213/qpg2/6398b36eaeb269659ce7caa2/carlton_london_olive_ankle-length_boots_with_zipper_closure.jpg', 'https://assets.ajio.com/medias/sys_master/root/20221213/qpg2/6398b36eaeb269659ce7ca9c/carlton_london_olive_ankle-length_boots_with_zipper_closure.jpg']"
ADORLY,"Rs.1,320.00",Ankle-Length Boots with Zip Closure,"['https://assets.ajio.com/medias/sys_master/root/20230104/gtDr/63b598b6f997ddfdbd10f5fb/adorly_green_ankle-length_boots_with_zip_closure.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230104/gtDr/63b598b6f997ddfdbd10f5ec/adorly_green_ankle-length_boots_with_zip_closure.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230104/gtDr/63b598b6f997ddfdbd10f5e8/adorly_green_ankle-length_boots_with_zip_closure.jpg']"
ARBUNORE,"Rs.1,120.00",Lace-Up Ankle-Length Combat Boots,"['https://assets.ajio.com/medias/sys_master/root/20211103/YnJb/6181a605f997ddf8f1f873df/arbunore_black_lace-up_ankle-length_combat_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20211103/YnJb/6181a605f997ddf8f1f873c9/arbunore_black_lace-up_ankle-length_combat_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20211103/YnJb/6181a605f997ddf8f1f873c4/arbunore_black_lace-up_ankle-length_combat_boots.jpg']"
EL PASO,"Rs.1,036.00",Panelled Lace-Up Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20220531/kgAw/629645e8f997dd03e2511dc3/el_paso_black_panelled_lace-up_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20220531/kgAw/629645e8f997dd03e2511dbb/el_paso_black_panelled_lace-up_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20220531/kgAw/629645e8f997dd03e2511db9/el_paso_black_panelled_lace-up_ankle-length_boots.jpg']"
BIG BANYAN,Rs.805.00,Lace-Up Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20230206/n0P2/63e119d7f997dd708e3bfd0a/big_banyan_black_lace-up_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230206/n0P2/63e119d7f997dd708e3bfcfa/big_banyan_black_lace-up_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230206/n0P2/63e119d7f997dd708e3bfcf6/big_banyan_black_lace-up_ankle-length_boots.jpg']"
Marks & Spencer,"Rs.1,170.00",Slip-On Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20230321/yxob/6418d71eaeb26924e3d47a05/marks_%26_spencer_teal_slip-on_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230321/yxob/6418d71eaeb26924e3d479ec/marks_%26_spencer_teal_slip-on_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230321/yxob/6418d71eaeb26924e3d479e8/marks_%26_spencer_teal_slip-on_ankle-length_boots.jpg']"
Shoetopia,"Rs.1,200.00",Boots with Suede upper,"['https://assets.ajio.com/medias/sys_master/root/20230927/uOCj/6513831fddf779151904f843/shoetopia_brown_boots_with_suede_upper.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230927/uOCj/6513831fddf779151904f833/shoetopia_brown_boots_with_suede_upper.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230927/uOCj/6513831fddf779151904f82f/shoetopia_brown_boots_with_suede_upper.jpg']"
DELIZE,"Rs.3,500.00",  Ankle-Length Heeled Boots ,"['https://assets.ajio.com/medias/sys_master/root/20230624/JP5Q/64964753a9b42d15c9d8dcd9/delize_black___ankle-length_heeled_boots_.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230624/JP5Q/64964753a9b42d15c9d8dcce/delize_black___ankle-length_heeled_boots_.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230624/JP5Q/64964753a9b42d15c9d8dccb/delize_black___ankle-length_heeled_boots_.jpg']"
LONGWALK,Rs.875.00,Ankle-Length Lace-Up Boots,"['https://assets.ajio.com/medias/sys_master/root/20230629/FqRo/649cef27a9b42d15c91ff1d8/longwalk_white_ankle-length_lace-up_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230629/FqRo/649cef27a9b42d15c91ff1cb/longwalk_white_ankle-length_lace-up_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230629/FqRo/649cef27a9b42d15c91ff1c9/longwalk_white_ankle-length_lace-up_boots.jpg']"
PIERRE CARDIN,"Rs.1,200.00",Reptilian Pattern Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20221110/qHf9/636d1210f997ddfdbd6bfc48/pierre_cardin_black_reptilian_pattern_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20221110/qHf9/636d1210f997ddfdbd6bfc3e/pierre_cardin_black_reptilian_pattern_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20221110/qHf9/636d1210f997ddfdbd6bfc3c/pierre_cardin_black_reptilian_pattern_ankle-length_boots.jpg']"
SHUZ TOUCH,"Rs.2,307.00",Ankle-Length Pointed-Toe Boots ,"['https://assets.ajio.com/medias/sys_master/root/20230912/tvSo/64ffbf06ddf7791519ced217/shuz_touch_black_ankle-length_pointed-toe_boots_.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230912/tvSo/64ffbf06ddf7791519ced20b/shuz_touch_black_ankle-length_pointed-toe_boots_.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230912/tvSo/64ffbf06ddf7791519ced208/shuz_touch_black_ankle-length_pointed-toe_boots_.jpg']"
Shoetopia,"Rs.1,619.00",Women Ankle-Length Boots with Zip Closure ,"['https://assets.ajio.com/medias/sys_master/root/20231025/uCr5/6538ecc8afa4cf41f55efe9e/shoetopia_brown_women_ankle-length_boots_with_zip_closure_.jpg', 'https://assets.ajio.com/medias/sys_master/root/20231025/uCr5/6538ecc8afa4cf41f55efe92/shoetopia_brown_women_ankle-length_boots_with_zip_closure_.jpg', 'https://assets.ajio.com/medias/sys_master/root/20231025/uCr5/6538ecc8afa4cf41f55efe8f/shoetopia_brown_women_ankle-length_boots_with_zip_closure_.jpg']"
Outryt,"Rs.1,320.00",Ankle-Length Chelsea Boots,"['https://assets.ajio.com/medias/sys_master/root/20221103/PD4P/63639f4eaeb269659c6df6f9/outryt_black_ankle-length_chelsea_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20221103/PD4P/63639f4eaeb269659c6df6e8/outryt_black_ankle-length_chelsea_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20221103/PD4P/63639f4eaeb269659c6df6e2/outryt_black_ankle-length_chelsea_boots.jpg']"
toothless,Rs.294.00,Printed Slip-On Booties,"['https://assets.ajio.com/medias/sys_master/root/20211208/20fo/61afadffaeb2690110fe8464/toothless_blue_printed_slip-on_booties.jpg', 'https://assets.ajio.com/medias/sys_master/root/20211208/20fo/61afadffaeb2690110fe8453/toothless_blue_printed_slip-on_booties.jpg', 'https://assets.ajio.com/medias/sys_master/root/20211208/20fo/61afadffaeb2690110fe844f/toothless_blue_printed_slip-on_booties.jpg']"
ADORLY,"Rs.1,596.00",Ankle-Length Slip-On Boots,"['https://assets.ajio.com/medias/sys_master/root/20230301/umYl/63ff9161f997dde6f4d5b66c/adorly_cream_ankle-length_slip-on_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230301/umYl/63ff9161f997dde6f4d5b657/adorly_cream_ankle-length_slip-on_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230301/umYl/63ff9161f997dde6f4d5b651/adorly_cream_ankle-length_slip-on_boots.jpg']"
STEVE MADDEN,"Rs.8,500.00",Darian Dress Boots,"['https://assets.ajio.com/medias/sys_master/root/20221028/u5WF/635bf830f997ddfdbd490fb4/steve_madden_black_darian_dress_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20221028/u5WF/635bf830f997ddfdbd490f90/steve_madden_black_darian_dress_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20221028/u5WF/635bf830f997ddfdbd490f87/steve_madden_black_darian_dress_boots.jpg']"
CLARKS,"Rs.4,250.00",Scene Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20220824/XJ7v/630541e5aeb269176197af6b/clarks_black_scene_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20220824/XJ7v/630541e5aeb269176197af63/clarks_black_scene_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20220824/XJ7v/630541e5aeb269176197af60/clarks_black_scene_ankle-length_boots.jpg']"
RISINGFOX,Rs.600.00,High-Tops Heeled Boots with Lace Fastening,"['https://assets.ajio.com/medias/sys_master/root/20230629/a6LU/649cef70eebac147fc364a7b/risingfox_black_high-tops_heeled_boots_with_lace_fastening.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230629/a6LU/649cef70eebac147fc364a6c/risingfox_black_high-tops_heeled_boots_with_lace_fastening.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230629/a6LU/649cef70eebac147fc364a68/risingfox_black_high-tops_heeled_boots_with_lace_fastening.jpg']"
DELIZE,"Rs.4,550.00",Ankle-Length Boots with Lace Fastening,"['https://assets.ajio.com/medias/sys_master/root/20230218/T9yw/63f06dc3aeb26924e3791b62/delize_white_ankle-length_boots_with_lace_fastening.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230218/T9yw/63f06dc3aeb26924e3791b56/delize_white_ankle-length_boots_with_lace_fastening.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230218/T9yw/63f06dc3aeb26924e3791b53/delize_white_ankle-length_boots_with_lace_fastening.jpg']"
ALLEVIATER,"Rs.1,800.00",Mid-Calf Boots with Zip Fastening,"['https://assets.ajio.com/medias/sys_master/root/20230814/Vbiz/64da2ddaa9b42d15c9ac2be9/alleviater_black_mid-calf_boots_with_zip_fastening.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230814/Vbiz/64da2ddaa9b42d15c9ac2bdb/alleviater_black_mid-calf_boots_with_zip_fastening.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230814/Vbiz/64da2ddaa9b42d15c9ac2bd7/alleviater_black_mid-calf_boots_with_zip_fastening.jpg']"
Mochi,"Rs.2,793.00",Pointed-Toe Mid-Calf Length Heeled Boots,"['https://assets.ajio.com/medias/sys_master/root/20230823/bQMR/64e5a5d3ddf77915196307a6/mochi_olive_green_pointed-toe_mid-calf_length_heeled_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230823/bQMR/64e5a5d3ddf77915196307a2/mochi_olive_green_pointed-toe_mid-calf_length_heeled_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230823/bQMR/64e5a5d3ddf77915196307a1/mochi_olive_green_pointed-toe_mid-calf_length_heeled_boots.jpg']"
Shoetopia,Rs.990.00,Ankle-Length Boots with Synthetic upper,"['https://assets.ajio.com/medias/sys_master/root/20230822/CIyT/64e40d10ddf77915195a2193/shoetopia_cream_ankle-length_boots_with_synthetic_upper.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230822/CIyT/64e40d10ddf77915195a217f/shoetopia_cream_ankle-length_boots_with_synthetic_upper.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230822/CIyT/64e40d10ddf77915195a217a/shoetopia_cream_ankle-length_boots_with_synthetic_upper.jpg']"
CLARKS,"Rs.7,699.00",Atticus LT Hi GTX Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20220824/7oL4/6305391df997dd394c16f0b2/clarks_black_atticus_lt_hi_gtx_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20220824/7oL4/6305391df997dd394c16f09d/clarks_black_atticus_lt_hi_gtx_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20220824/7oL4/6305391df997dd394c16f099/clarks_black_atticus_lt_hi_gtx_ankle-length_boots.jpg']"
ARBUNORE,Rs.675.00,Embellished Pointed-Toe Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20221129/qs6j/638630b7aeb269659cbfbd70/arbunore_pink_embellished_pointed-toe_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20221129/qs6j/638630b7aeb269659cbfbd4b/arbunore_pink_embellished_pointed-toe_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20221129/qs6j/638630b7aeb269659cbfbd43/arbunore_pink_embellished_pointed-toe_ankle-length_boots.jpg']"
Dune London,"Rs.7,500.00",Women Blairee Ankle-Strap Kitten Heels,"['https://assets.ajio.com/medias/sys_master/root/20211030/Ky9j/617c51e1aeb2690110b28911/dune_london_brown_women_blairee_ankle-strap_kitten_heels.jpg', 'https://assets.ajio.com/medias/sys_master/root/20211030/Ky9j/617c51e1aeb2690110b288fd/dune_london_brown_women_blairee_ankle-strap_kitten_heels.jpg', 'https://assets.ajio.com/medias/sys_master/root/20211030/Ky9j/617c51e1aeb2690110b288f8/dune_london_brown_women_blairee_ankle-strap_kitten_heels.jpg']"
